Date,Open,High,Low,Close,Adj Close,Volume,Open_lag1,Open_lag2,Open_lag3,Open_lag4,Open_lag5,Open_lag6,Open_lag7,High_lag1,High_lag2,High_lag3,High_lag4,High_lag5,High_lag6,High_lag7,Low_lag1,Low_lag2,Low_lag3,Low_lag4,Low_lag5,Low_lag6,Low_lag7,Close_lag1,Close_lag2,Close_lag3,Close_lag4,Close_lag5,Close_lag6,Close_lag7,Adj Close_lag1,Adj Close_lag2,Adj Close_lag3,Adj Close_lag4,Adj Close_lag5,Adj Close_lag6,Adj Close_lag7,Volume_lag1,Volume_lag2,Volume_lag3,Volume_lag4,Volume_lag5,Volume_lag6,Volume_lag7
10/8/2014,336.115997,354.364014,327.187988,352.940002,352.940002,54736300.0,330.584015,320.389008,328.915985,359.891998,375.181,383.988007,387.427002,339.247009,345.134003,341.800995,364.487,377.695007,385.497009,391.378998,320.481995,302.559998,289.29599,325.885986,357.859009,372.946014,380.779999,336.187012,330.07901,320.51001,328.865997,359.511993,375.071991,383.61499,336.187012,330.07901,320.51001,328.865997,359.511993,375.071991,383.61499,49199900.0,79011800.0,83308096.0,47236500.0,30901200.0,21777700.0,26229400.0
10/9/2014,352.747986,382.726013,347.687012,365.026001,365.026001,83641104.0,336.115997,330.584015,320.389008,328.915985,359.891998,375.181,383.988007,354.364014,339.247009,345.134003,341.800995,364.487,377.695007,385.497009,327.187988,320.481995,302.559998,289.29599,325.885986,357.859009,372.946014,352.940002,336.187012,330.07901,320.51001,328.865997,359.511993,375.071991,352.940002,336.187012,330.07901,320.51001,328.865997,359.511993,375.071991,54736300.0,49199900.0,79011800.0,83308096.0,47236500.0,30901200.0,21777700.0
10/10/2014,364.687012,375.066986,352.963013,361.562012,361.562012,43665700.0,352.747986,336.115997,330.584015,320.389008,328.915985,359.891998,375.181,382.726013,354.364014,339.247009,345.134003,341.800995,364.487,377.695007,347.687012,327.187988,320.481995,302.559998,289.29599,325.885986,357.859009,365.026001,352.940002,336.187012,330.07901,320.51001,328.865997,359.511993,365.026001,352.940002,336.187012,330.07901,320.51001,328.865997,359.511993,83641104.0,54736300.0,49199900.0,79011800.0,83308096.0,47236500.0,30901200.0
10/11/2014,361.362,367.19101,355.950989,362.299011,362.299011,13345200.0,364.687012,352.747986,336.115997,330.584015,320.389008,328.915985,359.891998,375.066986,382.726013,354.364014,339.247009,345.134003,341.800995,364.487,352.963013,347.687012,327.187988,320.481995,302.559998,289.29599,325.885986,361.562012,365.026001,352.940002,336.187012,330.07901,320.51001,328.865997,361.562012,365.026001,352.940002,336.187012,330.07901,320.51001,328.865997,43665700.0,83641104.0,54736300.0,49199900.0,79011800.0,83308096.0,47236500.0
10/12/2014,362.605988,379.433014,356.144012,378.549011,378.549011,17552800.0,361.362,364.687012,352.747986,336.115997,330.584015,320.389008,328.915985,367.19101,375.066986,382.726013,354.364014,339.247009,345.134003,341.800995,355.950989,352.963013,347.687012,327.187988,320.481995,302.559998,289.29599,362.299011,361.562012,365.026001,352.940002,336.187012,330.07901,320.51001,362.299011,361.562012,365.026001,352.940002,336.187012,330.07901,320.51001,13345200.0,43665700.0,83641104.0,54736300.0,49199900.0,79011800.0,83308096.0
10/13/2014,377.92099,397.226013,368.897003,390.414001,390.414001,35221400.0,362.605988,361.362,364.687012,352.747986,336.115997,330.584015,320.389008,379.433014,367.19101,375.066986,382.726013,354.364014,339.247009,345.134003,356.144012,355.950989,352.963013,347.687012,327.187988,320.481995,302.559998,378.549011,362.299011,361.562012,365.026001,352.940002,336.187012,330.07901,378.549011,362.299011,361.562012,365.026001,352.940002,336.187012,330.07901,17552800.0,13345200.0,43665700.0,83641104.0,54736300.0,49199900.0,79011800.0
10/14/2014,391.691986,411.697998,391.324005,400.869995,400.869995,38491500.0,377.92099,362.605988,361.362,364.687012,352.747986,336.115997,330.584015,397.226013,379.433014,367.19101,375.066986,382.726013,354.364014,339.247009,368.897003,356.144012,355.950989,352.963013,347.687012,327.187988,320.481995,390.414001,378.549011,362.299011,361.562012,365.026001,352.940002,336.187012,390.414001,378.549011,362.299011,361.562012,365.026001,352.940002,336.187012,35221400.0,17552800.0,13345200.0,43665700.0,83641104.0,54736300.0,49199900.0
10/15/2014,400.954987,402.22699,388.765991,394.77301,394.77301,25267100.0,391.691986,377.92099,362.605988,361.362,364.687012,352.747986,336.115997,411.697998,397.226013,379.433014,367.19101,375.066986,382.726013,354.364014,391.324005,368.897003,356.144012,355.950989,352.963013,347.687012,327.187988,400.869995,390.414001,378.549011,362.299011,361.562012,365.026001,352.940002,400.869995,390.414001,378.549011,362.299011,361.562012,365.026001,352.940002,38491500.0,35221400.0,17552800.0,13345200.0,43665700.0,83641104.0,54736300.0
10/16/2014,394.518005,398.807007,373.070007,382.556,382.556,26990000.0,400.954987,391.691986,377.92099,362.605988,361.362,364.687012,352.747986,402.22699,411.697998,397.226013,379.433014,367.19101,375.066986,382.726013,388.765991,391.324005,368.897003,356.144012,355.950989,352.963013,347.687012,394.77301,400.869995,390.414001,378.549011,362.299011,361.562012,365.026001,394.77301,400.869995,390.414001,378.549011,362.299011,361.562012,365.026001,25267100.0,38491500.0,35221400.0,17552800.0,13345200.0,43665700.0,83641104.0
10/17/2014,382.756012,385.477997,375.389008,383.757996,383.757996,13600700.0,394.518005,400.954987,391.691986,377.92099,362.605988,361.362,364.687012,398.807007,402.22699,411.697998,397.226013,379.433014,367.19101,375.066986,373.070007,388.765991,391.324005,368.897003,356.144012,355.950989,352.963013,382.556,394.77301,400.869995,390.414001,378.549011,362.299011,361.562012,382.556,394.77301,400.869995,390.414001,378.549011,362.299011,361.562012,26990000.0,25267100.0,38491500.0,35221400.0,17552800.0,13345200.0,43665700.0
